state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date,number_of_hospitals_fewer,number_of_hospitals_average,number_of_hospitals_more,number_of_hospitals_too_small
AK,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,0,2,2,11
AK,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,2,6,3,9
AK,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,4,7,3,7
AK,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,17,1,3,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,7,0,6,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,8,0,6,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,6,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,5,0,1,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,5,0,10,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_CABG,Rate of readmission for CABG,0,2,0,1,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,10,0,10,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,10,0,9,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,7,0,3,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,14,0,7,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,6,9,11,44
AL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,12,22,24,27
AL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,8,37,26,14
AL,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),1,80,0,6,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,65,0,7,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,16,0,36,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,16,0,36,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,43,1,22,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,31,0,39,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_CABG,Rate of readmission for CABG,1,18,0,3,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,49,0,35,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,58,0,27,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,32,0,16,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,71,0,14,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,3,12,9,30
AR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,17,13,14,32
AR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,14,26,22,15
AR,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),4,67,1,6,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,48,0,7,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,16,0,27,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,16,0,27,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,32,0,15,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,26,0,28,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_CABG,Rate of readmission for CABG,0,13,0,3,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,38,0,39,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,42,1,32,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,15,0,25,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,61,1,15,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024,Not Available,Not Available,Not Available,Not Available
AS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024,Not Available,Not Available,Not Available,Not Available
AS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024,Not Available,Not Available,Not Available,Not Available
AS,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,5,21,12,23
AZ,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,15,23,17,22
AZ,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,9,33,23,17
AZ,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),1,73,3,8,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,49,0,7,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,23,0,36,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,23,0,36,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,50,1,7,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,39,0,21,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_CABG,Rate of readmission for CABG,0,20,0,4,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,49,0,31,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,53,1,22,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,31,1,23,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,65,0,17,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,23,55,55,160
CA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,43,116,103,58
CA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,32,102,140,47
CA,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),13,282,18,11,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,187,2,62,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,9,97,0,117,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,3,102,1,117,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,181,10,83,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,149,0,143,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_CABG,Rate of readmission for CABG,0,87,0,34,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,219,0,98,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,6,255,1,58,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,142,6,107,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,14,259,1,47,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,13,10,1,38
CO,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,25,20,2,34
CO,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,19,31,11,23
CO,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,71,10,4,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,58,0,8,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,31,1,34,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,31,0,34,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,54,0,16,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,33,0,29,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_CABG,Rate of readmission for CABG,0,13,0,5,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,36,0,47,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,45,2,34,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,28,0,39,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,61,0,23,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,1,5,8,11
CT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,3,12,11,1
CT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,0,10,16,1
CT,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,25,1,1,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,26,0,0,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,19,0,7,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,18,1,7,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,23,2,0,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,16,0,9,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_CABG,Rate of readmission for CABG,0,8,0,2,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,26,0,1,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,24,1,1,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,14,0,12,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,2,24,0,1,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,0,0,3,4
DC,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,1,5,1,0
DC,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,0,3,4,0
DC,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,7,0,0,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,6,0,0,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,2,0,2,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,3,0,2,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,5,0,1,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,5,0,2,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_CABG,Rate of readmission for CABG,0,2,0,0,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,7,0,0,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,6,1,0,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,5,0,1,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,7,0,0,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,0,3,1,3
DE,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,2,2,3,0
DE,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,3,3,1,0
DE,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,7,0,0,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,6,0,0,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,5,0,1,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,5,0,1,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,5,1,0,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,6,0,1,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_CABG,Rate of readmission for CABG,0,3,0,0,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,7,0,0,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,7,0,0,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,4,0,2,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,6,1,0,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,22,53,47,56
FL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,29,69,75,15
FL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,24,69,85,14
FL,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),39,139,5,4,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,148,0,24,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,39,0,108,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,40,2,108,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,4,146,6,15,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,2,134,0,42,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_CABG,Rate of readmission for CABG,0,65,1,12,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,2,164,0,24,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,8,165,0,15,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,2,103,0,60,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,9,167,2,14,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,12,27,12,48
GA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,16,37,36,41
GA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,18,37,48,26
GA,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),2,112,1,12,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
