facility_name,facility_id,npi,city_town,state,zip_code,year,asc_1_rate,asc_1_footnote,asc_2_rate,asc_2_footnote,asc_3_rate,asc_3_footnote,asc_4_rate,asc_4_footnote,asc_9_rate,asc_9_footnote,asc_11_rate,asc_11_footnote,asc_12_total_cases,asc_12_performance_category,asc_12_rshv_rate,asc_12_interval_lower_limit,asc_12_interval_upper_limit,asc_12_footnote,asc_13_rate,asc_13_footnote,asc_14_rate,asc_14_footnote,asc_17_total_cases,asc_17_performance_category,asc_17_rshv_rate,asc_17_interval_lower_limit,asc_17_interval_upper_limit,asc_17_footnote,asc_18_total_cases,asc_18_performance_category,asc_18_rshv_rate,asc_18_interval_lower_limit,asc_18_interval_upper_limit,asc_18_footnote,asc_19_total_cases,asc_19_performance_category,asc_19_rshv_rate,asc_19_interval_lower_limit,asc_19_interval_upper_limit,asc_19_footnote
THE SURGERY CENTER AT NORTHBAY VACA VALLEY,05C0001831,1003015843,VACAVILLE,CA,95687,2024,,5,0.033,,,5,0.116,,71.67,,,5,1269,No Different Than the National Rate,11.9,9,15.8,,,5,,5,145,No Different Than the National Rate,2.6,1.6,4,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
CARLSBAD SURGERY CENTER LLC,05C0001873,1003017351,CARLSBAD,CA,92011,2024,,5,,5,0.055,,0.055,,,5,,5,,Number of Cases Too Small,,,,1,99.58,,,5,312,No Different Than the National Rate,2.6,1.7,3.9,,,Number of Cases Too Small,,,,1,47,No Different than expected,1.1,0.6,1.9,
MIDWEST ENDOSCOPY CENTER LLC,14C0001134,1003036310,NAPERVILLE,IL,60540,2024,,5,,5,,5,0.294,,98.62,,,5,2495,No Different Than the National Rate,10,7.8,12.9,,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
ADVANCED SURGICAL CARE OF BATON ROUGE LLC,19C0001115,1003062274,BATON ROUGE,LA,70808,2024,,5,,5,0.032,,0.032,,,5,,5,,,,,,5,100.00,,,5,88,No Different Than the National Rate,2.6,1.6,4.2,,,,,,,5,68,No Different than expected,1.2,0.7,2.1,
ENDO CENTER LLC,19C0001088,1003067844,SLIDELL,LA,70461,2024,0.000,,0.040,,0.000,,0.198,,83.57,,,5,445,No Different Than the National Rate,10.3,7.4,14.2,,,5,,5,,,,,,5,,,,,,5,,,,,,5
WASC LLC DBA WOOSTER AMBULATORY SURGERY CENTER,36C0001248,1003079187,WOOSTER,OH,44691,2024,0.000,,0.067,,0.000,,0.111,,79.87,,,5,389,No Different Than the National Rate,10.1,7.2,14.1,,98.79,,0.000,,191,No Different Than the National Rate,2.6,1.7,3.8,,49,No Different Than the National Rate,5.8,3.8,9.2,,,Number of Cases Too Small,,,,1
NEW ALBANY SURGERY CENTER LLC,36C0001267,1003103474,NEW ALBANY,OH,43054,2024,0.000,,0.048,,0.000,,0.048,,,5,,5,,,,,,5,99.74,,,5,367,No Different Than the National Rate,2.7,1.9,4,,,,,,,5,,Number of Cases Too Small,,,,1
CITY PL SURGERY CENTER,26C0001033,1003110792,CREVE COUER,MO,63141,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,399,No Different Than the National Rate,2.4,1.6,3.7,,,,,,,5,36,No Different than expected,0.9,0.5,1.7,
NORTHERN NJ ENDOSCOPY CENTER LLC,31C0001270,1003116823,NEWTON,NJ,07860,2024,,5,,5,,5,0.000,,97.40,,,5,1034,No Different Than the National Rate,9.3,6.8,12.6,,,5,,5,,,,,,5,,,,,,5,,,,,,5
MOUNTAIN WEST SURGERY CENTER LLC,46C0001039,1003119470,BOUNTIFUL,UT,84010,2024,0.000,,0.059,,0.000,,0.074,,,5,,5,,,,,,5,100.00,,0.128,,534,No Different Than the National Rate,2.4,1.7,3.4,,,,,,,5,,Number of Cases Too Small,,,,1
MEMORIAL HERMANN ENDOSCOPY CENTER NORTH LOOP,45C0001363,1003127606,HOUSTON,TX,77018,2024,0.000,,0.071,,0.000,,0.142,,7.66,,,5,404,No Different Than the National Rate,10,7.3,13.8,,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
NEWPORT PLAZA SURGERY CENTER,05C0001672,1003138736,COSTA MESA,CA,92627,2024,0.000,,0.051,,0.000,,0.102,,,5,,5,,,,,,5,100.00,,,5,37,No Different Than the National Rate,2.3,1.4,3.6,,126,No Different Than the National Rate,5.2,3.4,7.6,,186,No Different than expected,1.1,0.7,1.7,
PSA AMBULATORY SURGERY CENTER OF KILLEEN LLC,45C0001569,1003166844,KILLEEN,TX,76542,2024,,5,0.023,,,5,,5,,5,,5,,,,,,5,100.00,,,5,101,No Different Than the National Rate,2.4,1.6,3.5,,,,,,,5,,,,,,5
CANDESCENT EYE HEALTH SURGICENTER LLC,22C0001007,1003168907,DARTMOUTH,MA,02747,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
CENTRAL OHIO ENDOSCOPY CENTER LLC,36C0001284,1003220187,COLUMBUS,OH,43202,2024,,5,0.016,,,5,0.112,,93.27,,,5,3951,No Different Than the National Rate,10.3,8.2,13.1,,,5,,5,,,,,,5,,,,,,5,,,,,,5
NORTHWEST ENDO CENTER LLC,14C0001168,1003260498,ARLINGTON HEIGHTS,IL,60005,2024,,5,0.018,,,5,0.073,,100.00,,,5,1859,No Different Than the National Rate,10,7.5,13.1,,,5,,5,,,,,,5,,,,,,5,40,No Different than expected,0.9,0.5,1.5,
PAIN CENTERS OF MINNESOTA CHASKA,24C0001090,1003272980,CHASKA,MN,55318,2024,,5,0.036,,,5,0.181,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
GREAT LAKES SURGERY CTR LLC,23C0001131,1003273129,ST JOSEPH,MI,49085,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.198,,57,No Different Than the National Rate,2.3,1.4,3.7,,,,,,,5,25,No Different than expected,1,0.5,1.8,
CENTER FOR SOUTHSIDE SURGERY,15C0001199,1003292483,GREENWOOD,IN,46143,2024,0.000,,0.065,,0.000,,0.065,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
DESERT VISTA SURGICAL CENTER,03C0001439,1003332883,SCOTTSDALE,AZ,85258,2024,0.000,,0.016,,0.016,,0.063,,,5,,5,,,,,,5,96.99,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
NEPHROLOGY PHYSICIANS LLC DBA AZURA SURGERY CENTER MICHIANA VASCULAR,15C0001203,1003357377,MISHAWAKA,IN,19355,2024,,5,0.050,,,5,0.251,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
RIVERVIEW SURGICAL CENTER LLC,28C0001065,1003374711,SOUTH SIOUX CITY,NE,68776,2024,0.000,,0.000,,0.000,,0.081,,100.00,,,5,156,No Different Than the National Rate,9.8,7,13.5,,97.74,,0.093,,218,No Different Than the National Rate,2.5,1.6,3.9,,,,,,,5,,Number of Cases Too Small,,,,1
ON BEACH SURGERY CENTER LLC,55C0001110,1003420001,BUENA PARK,CA,90621,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
BEVERLY HILLS ENDOSURGICAL CENTER LLC,05C0002277,1003437336,BEVERLY HILLS,CA,90211,2024,,5,0.095,,,5,,5,90.48,,,5,1182,No Different Than the National Rate,9.2,6.9,12,,92.59,,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
GULF COAST PROCEDURE CENTER LLC,45C0451283,1003516675,HOUSTON,TX,77034,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
EYE CONSULTANTS FAYETTEVILLE SURGERY CENTER,11C0001554,1003547803,FAYETTEVILLE,GA,30214,2024,,5,0.048,,,5,0.048,,,5,,5,,,,,,5,,5,0.238,,,,,,,5,,,,,,5,,,,,,5
CYPRESS AMBULATORY SURGERY CENTER LLC DBA CURRENCY CIR SURGERY CENTER,10C0001725,1003553645,LAKE MARY,FL,32746,2024,,5,,5,,5,0.195,,75.00,,,5,184,No Different Than the National Rate,9.9,7.2,13.8,,,5,,5,,,,,,5,,,,,,5,,,,,,5
RENAL FOCUS ASC LLC DBA RENAL FOCUS ASC PLAINVIEW,33C0001208,1003575218,PLAINVIEW,NY,11803,2024,,5,0.030,,,5,0.240,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
LENOX SURGERY CENTER LLC,23C0001154,1003581794,LENOX,MI,48048,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO DBA UT HEALTH KSP ASC,45C0451288,1003689548,SAN ANTONIO,TX,78249,2024,0.000,,0.000,,0.000,,0.000,,,1,,5,35,No Different Than the National Rate,10.1,7.4,14.1,,100.00,,2.041,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
MINNESOTA EYE INSTITUTE SURGERY CENTER LLC,24C0001043,1003802950,ALEXANDRIA,MN,56308,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.287,,,,,,,5,,,,,,5,,,,,,5
LAKEVIEW SURGERY CENTER,16C0001014,1003807835,WEST DES MOINES,IA,50266,2024,,5,0.012,,,5,0.105,,,5,,5,,,,,,5,99.91,,,5,194,No Different Than the National Rate,2.3,1.5,3.5,,62,No Different Than the National Rate,6,3.8,9.4,,475,No Different than expected,0.9,0.6,1.5,
UNIVERSITY SURGERY CENTER LTD,10C0001203,1003813221,WINTER PARK,FL,32792,2024,0.000,,0.000,,0.000,,0.109,,92.82,,,5,542,No Different Than the National Rate,10.7,7.8,14.5,,100.00,,,5,,Number of Cases Too Small,,,,1,,,,,,5,59,No Different than expected,1,0.6,1.8,
DOTHAN SURGERY CENTER LLC,01C0001039,1003815242,DOTHAN,AL,36301,2024,0.000,,0.037,,0.000,,0.074,,88.24,,,5,228,No Different Than the National Rate,10.4,7.4,14.6,,97.92,,0.000,,330,No Different Than the National Rate,2.6,1.7,3.9,,,,,,,5,36,No Different than expected,1.1,0.6,2,
SAGAMORE SURGICAL SERVICES INC,15C0001041,1003816307,LAFAYETTE,IN,47909,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
NORTHRIDGE FACIAL PLASTIC SURGERY MEDICAL GROUP,05C0001366,1003824434,NORTHRIDGE,CA,91325,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
SUMMIT SURGERY CENTER LLC,19C0001097,1003842527,COVINGTON,LA,70433,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
AMBULATORY CENTER FOR ENDOSCOPY LLC,31C0001203,1003842626,NORTH BERGEN,NJ,07047,2024,0.000,,0.024,,0.000,,0.024,,82.18,,,5,510,No Different Than the National Rate,9.8,7.1,13.5,,,5,,5,,,,,,5,,,,,,5,,,,,,5
WESTSIDE OUTPATIENT CENTER LLC,10C0001355,1003847500,ROYAL PALM BEACH,FL,33411,2024,0.000,,0.035,,0.000,,0.492,,,5,,5,,,,,,5,100.00,,,5,239,No Different Than the National Rate,2.3,1.5,3.5,,,,,,,5,,Number of Cases Too Small,,,,1
SILVER SPRING OPHTHALMOLOGY LLC,21C0001177,1003853136,SILVER SPRING,MD,20910,2024,,5,,5,,5,,5,,5,,5,,,,,,5,100.00,,0.503,,,,,,,5,,,,,,5,,,,,,5
OHIO EYE ASSOCIATES INC,36C0001024,1003855594,MANSFIELD,OH,44906,2024,,5,0.025,,,5,,5,,5,,5,,,,,,5,,5,0.038,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
SURGERY CENTER OF PINEHURST,34C0001114,1003860917,PINEHURST,NC,28374,2024,0.000,,0.000,,0.000,,0.063,,,5,,5,,,,,,5,95.83,,0.449,,479,No Different Than the National Rate,2,1.3,3,,195,No Different Than the National Rate,4.5,3.1,6.6,,176,No Different than expected,0.8,0.5,1.4,
PHYSICIANS SURGERY CENTER OF CHATTANOOGA LLC DBA PHYSICIANS SURGERY CENTER OF CHATTANOOGA,44C0001060,1003861998,CHATTANOOGA,TN,37412,2024,,5,,5,,5,,1,,5,,5,,,,,,5,100.00,,0.071,,,Number of Cases Too Small,,,,1,,,,,,5,80,No Different than expected,1,0.5,1.7,
PINELLAS SURGERY CENTER LTD DBA CENTER FOR SPECIAL SURGERY,10C0001250,1003870825,SAINT PETERSBURG,FL,33703,2024,,5,0.043,,,5,0.087,,,5,,5,,,,,,5,0.00,,,5,319,No Different Than the National Rate,2.1,1.4,3.2,,,,,,,5,,Number of Cases Too Small,,,,1
MEMPHIS SURGERY CENTER,44C0001004,1003871104,MEMPHIS,TN,38119,2024,0.000,,0.000,,0.000,,0.100,,,5,,5,,,,,,5,100.00,,0.262,,55,No Different Than the National Rate,2.3,1.4,3.6,,,,,,,5,77,No Different than expected,1,0.5,1.7,
WILDCREEK SURGERY CENTER,29C0001035,1003875873,SPARKS,NV,89431,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.535,,,,,,,5,,,,,,5,,,,,,5
CENTRAL TEXAS ENDOSCOPY CENTER LLC,45C0001265,1003887225,BRYAN,TX,77802,2024,0.000,,0.000,,0.000,,0.091,,86.72,,,5,2965,No Different Than the National Rate,9.4,7.4,12,,,5,,5,,,,,,5,,,,,,5,,,,,,5
LOUISVILLE ENDOSCOPY CENTER,18C0001029,1003888595,LOUISVILLE,KY,40217,2024,0.000,,0.033,,0.000,,0.066,,96.04,,,5,2541,No Different Than the National Rate,10.1,7.8,12.9,,,5,,5,,,,,,5,,,,,,5,,,,,,5
DIGESTIVE ENDOSCOPY CENTER LLC,36C0001084,1003888710,KETTERING,OH,45429,2024,0.000,,0.038,,0.000,,0.192,,91.28,,,5,2198,No Different Than the National Rate,11.7,9.2,15,,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
ENDOSCOPY GROUP LLC,10C0001252,1003889346,PENSACOLA,FL,32503,2024,0.000,,0.000,,0.000,,0.020,,100.00,,,5,5293,No Different Than the National Rate,10.7,8.8,13,,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
WALDORF ENDOSCOPY CENTER,21C0001062,1003889379,WALDORF,MD,20602,2024,0.000,,0.000,,0.000,,0.073,,78.15,,,5,1974,No Different Than the National Rate,9.8,7.5,13,,,5,,5,,,,,,5,,,,,,5,,,,,,5
OREGON TRAIL EYE SURGERY CENTER,28C0001036,1003909789,SCOTTSBLUFF,NE,69361,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.000,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
CROSSROADS PODIATRIC SURGERY CENTER LLC,21C0001450,1003912957,OWINGS MILLS,MD,21117,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,36,No Different Than the National Rate,2.4,1.6,3.9,,,,,,,5,,Number of Cases Too Small,,,,1
VAIL VALLEY SURGERY CENTER LLC DBA VAIL VALLEY SURGERY CENTER VAIL,06C0001074,1003944125,VAIL,CO,81657,2024,0.000,,0.000,,0.000,,0.794,,,5,,5,,,,,,5,100.00,,,5,353,No Different Than the National Rate,2.5,1.7,3.8,,,,,,,5,,Number of Cases Too Small,,,,1
PACIFIC HEIGHTS SURGERY CENTER LP,05C0001661,1003965328,SAN FRANCISCO,CA,94115,2024,,5,,5,,5,0.263,,,5,,5,,,,,,5,96.58,,,5,64,No Different Than the National Rate,2.8,1.8,4.5,,,,,,,5,,Number of Cases Too Small,,,,1
THE ORTHOPAEDIC SURGERY CENTER LLC,52C0001074,1003976929,PEWAUKEE,WI,53072,2024,0.000,,0.019,,0.000,,0.000,,,5,,5,,,,,,5,94.10,,,5,582,No Different Than the National Rate,3.3,2.3,4.6,,,,,,,5,,Number of Cases Too Small,,,,1
PIEDMONT EYE,11C0001203,1003993965,ATLANTA,GA,30327,2024,0.036,,0.000,,0.000,,0.018,,,5,,5,,,,,,5,,1,0.401,,,,,,,5,,,,,,5,,,,,,5
BAY AREA ENDOSCOPY CENTER LIMITED PARTNERSHIP,10C0001196,1013011162,ST  PETERSBURG,FL,33709,2024,0.000,,0.026,,0.000,,0.000,,74.03,,,5,661,No Different Than the National Rate,9.4,6.9,12.7,,,5,,5,,,,,,5,,,,,,5,,,,,,5
PHOENIX EYE SURGICAL CENTER PLC,03C0001023,1013021682,PHOENIX,AZ,85012,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1,,,,,,7
GASTROENTEROLOGY DIAGNOSTIC CENTER MEDICAL GROUP,05C0001186,1013048461,MONTEREY PARK,CA,91754,2024,0.000,,0.000,,0.000,,0.023,,84.43,,,5,343,No Different Than the National Rate,11.4,8.3,15.8,,,5,,5,,,,,,5,,,,,,5,,,,,,5
RENAISSANCE SURGERY CENTER LLC,05C0001702,1013068642,PALM DESERT,CA,92260,2024,,5,0.041,,,5,,5,,5,100.00,,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
RENAISSANCE SURGERY CENTER LLC,05C0001813,1013068642,FRESNO,CA,93720,2024,,5,0.041,,,5,,5,,5,100.00,,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
TRACY SURGERY CENTER,05C0001859,1013104389,TRACY,CA,95377,2024,0.050,,0.050,,0.050,,0.050,,23.84,,,5,74,No Different Than the National Rate,9.7,7,13.9,,100.00,,0.000,,36,No Different Than the National Rate,2.5,1.5,4,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
FOOT SURGERY CENTER OF NORTHERN COLORADO LLC,06C0001043,1013116938,FORT COLLINS,CO,80524,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,53,No Different Than the National Rate,2.6,1.6,4.2,,,,,,,5,,Number of Cases Too Small,,,,1
ADVANCED SURGICAL INSTITUTE DBA SOUTH JERSEY MUSCULOSKELETAL INSTITUTE LLC,31C0001233,1013136456,SEWELL,NJ,08080,2024,0.000,,0.000,,0.000,,0.013,,82.81,,,5,681,No Different Than the National Rate,10.6,7.9,14.2,,100.00,,0.161,,199,No Different Than the National Rate,3,1.9,4.5,,,,,,,5,,Number of Cases Too Small,,,,1
WESTERN WASHINGTON MEDICAL GROUP INC PS DBA GATEWAY SURGERY CENTER,50C0001272,1013138536,EVERETT,WA,98201,2024,,5,0.048,,,5,0.193,,,5,,5,,,,,,5,99.63,,,5,160,No Different Than the National Rate,2.5,1.6,3.9,,,,,,,5,,Number of Cases Too Small,,,,1
HARRISON ENDO SURGICAL CENTER LLC,31C0001262,1013143007,HARRISON,NJ,07029,2024,,5,,5,,5,0.067,,100.00,,,5,390,No Different Than the National Rate,9.6,7,13.3,,94.59,,,5,62,No Different Than the National Rate,2.2,1.4,3.6,,,,,,,5,47,No Different than expected,0.9,0.5,1.6,
NORTH COLUMBUS SURGERY CENTER LLC,11C0001368,1013212927,COLUMBUS,GA,31909,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
CARLIN VISION SURGERY CENTER LLC,11C0001356,1013222926,SNELLVILLE,GA,30078,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.537,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
TUSCAN SURGERY CENTER AT LAS COLINAS,45C0001384,1013227248,IRVING,TX,75039,2024,0.000,,0.027,,0.000,,0.093,,98.47,,,5,1780,No Different Than the National Rate,11.8,9,15.6,,,1,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
SOMA SURGERY CENTER,05C0002015,1013275965,BEVERLY HILLS,CA,90211,2024,,5,,5,,5,,5,,5,,5,,Number of Cases Too Small,,,,1,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
NOVANT HEALTH MATTHEWS SURGERY CENTER,34C0001180,1013298926,MATTHEWS,NC,28103,2024,0.000,,0.000,,0.000,,0.076,,,5,,5,,,,,,5,99.79,,,5,346,No Different Than the National Rate,2.1,1.4,3.1,,,,,,,5,,Number of Cases Too Small,,,,1
MELBOURNE SURGERY CENTER LLC,10C0001228,1013309459,MELBOURNE,FL,32901,2024,0.000,,0.000,,0.000,,0.192,,,5,100.00,,,,,,,5,100.00,,0.000,,238,No Different Than the National Rate,2.1,1.3,3.2,,,Number of Cases Too Small,,,,1,110,No Different than expected,1,0.6,1.9,
CENTER FOR PAIN AND SPINE LLC,11C0001430,1013341734,NEWNAN,GA,30265,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
SURGICATH LLC,10C0001649,1013360320,PALM BEACH GARDENS,FL,33410,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
GI WELLNESS CENTER OF FREDERICK,21C0001579,1013372986,FREDERICK,MD,21702,2024,0.000,,0.000,,0.000,,0.000,,,1,,5,521,No Different Than the National Rate,9.4,6.9,12.9,,,5,,5,,,,,,5,,,,,,5,,,,,,5
GI WELLNESS CENTER OF FREDERICK LLC,21D2113134,1013372986,FREDERICK,MD,21702,2024,0.000,,0.000,,0.000,,0.000,,,1,,5,521,No Different Than the National Rate,9.4,6.9,12.9,,,5,,5,,,,,,5,,,,,,5,,,,,,5
NORTH PINES SURGERY CENTER LLC,45C0001597,1013392042,CONROE,TX,77304,2024,,5,0.000,,0.000,,0.040,,,5,,5,,,,,,5,99.76,,,5,89,No Different Than the National Rate,2.3,1.5,3.4,,,,,,,5,,,,,,5
AKDHC SURGERY CENTER,03C0001432,1013403161,BULLHEAD,AZ,86442,2024,0.000,,0.000,,0.000,,0.631,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
BURNSIDE SURGERY CENTER,38C0001111,1013417351,GRESHAM,OR,97030,2024,0.000,,0.100,,0.000,,0.050,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
REX SURGERY CENTER OF WAKEFIELD LLC,34C0001201,1013425933,RALEIGH,NC,27612,2024,0.000,,0.000,,0.026,,0.159,,,5,,5,,,,,,5,100.00,,0.993,,69,No Different Than the National Rate,2.3,1.4,3.6,,,Number of Cases Too Small,,,,1,136,No Different than expected,1.3,0.8,2.1,
ENDOSCOPY CENTER OF NORTH CAROLINA DIGESTIVE HEALTH PARTNERS,34C0001034,1013463157,ASHEVILLE,NC,28801,2024,,5,0.019,,,5,0.100,,100.00,,,5,6958,Better Than the National Rate,7.4,5.9,9.2,,,5,,5,,,,,,5,,,,,,5,,,,,,5
CAMARILLO ENDOSCOPY CENTER LLC,05C0002164,1013463991,CAMARILLO,CA,93012,2024,,5,,5,,5,,5,,5,,5,,Number of Cases Too Small,,,,1,,5,,5,,,,,,5,,,,,,5,,,,,,5
MUVE LAKEWAY AMBULATORY SURGICAL CENTER,45C0001618,1013468586,LAKEWAY,TX,78738,2024,,5,0.093,,0.093,,0.185,,,5,,5,,,,,,5,100.00,,,5,352,No Different Than the National Rate,2,1.4,2.9,,,,,,,5,,,,,,5
ADVANCED SURGERY CENTER OF LANCASTER LLC,39C0001349,1013471754,LANCASTER,PA,17601,2024,,5,,5,,5,0.192,,,5,,5,,,,,,5,100.00,,,5,110,No Different Than the National Rate,2.2,1.5,3.2,,,,,,,5,,Number of Cases Too Small,,,,1
EYE SURGERY CENTER OF ELIZABETHTOWN,18C0001054,1013513308,ELIZABETHTOWN,KY,42701,2024,0.000,,0.000,,0.000,,0.039,,,5,,5,,,,,,5,,5,0.272,,,,,,,5,,,,,,5,,,,,,5
BSC BILTMORE LLC,03C0001426,1013539709,PHOENIX,AZ,85016,2024,0.000,,0.000,,0.000,,0.299,,,5,,5,,,,,,5,99.90,,,5,308,No Different Than the National Rate,2.7,1.8,4,,,,,,,5,,Number of Cases Too Small,,,,1
ATLANTICARE CENTER FOR ORTHOPEDIC SURGERY,31C0001341,1013570506,EGG HARBOR TWP,NJ,08234,2024,0.000,,0.089,,0.022,,0.067,,,5,,5,,,,,,5,100.00,,,5,1356,No Different Than the National Rate,1.8,1.4,2.4,,,,,,,5,,Number of Cases Too Small,,,,1
CLEARWAY SURGERY CENTER OF WESTMINSTER LLC,21C0001648,1013584762,WESTMINSTER,MD,21157,2024,,5,0.032,,,5,0.032,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
ENCORE SURGICAL INSTITUTE LLC,44C0001212,1013595040,CORDOVA,TN,38016,2024,,5,,5,,5,0.110,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
ASC OF BAUCOM AND MINA DERM SURGERY JOHNS CREEK LLC,11C0001580,1013601517,JOHNS CREEK,GA,30097,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,38,No Different than expected,0.9,0.5,1.7,
ARLINGTON HEIGHTS SURGERY CENTER LLC,14C0001198,1013612423,ARLINGTON HEIGHTS,IL,60005,2024,,5,,5,0.048,,0.291,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
NORTH JERSEY ASC ASSOCIATES,31C0001317,1013634039,CLIFTON,NJ,07013,2024,0.000,,0.054,,0.000,,0.544,,96.22,,,5,42,No Different Than the National Rate,9.8,7,13.8,,,5,,5,,,,,,5,,,,,,5,,,,,,5
MURFREESBORO MEDICAL CLINIC PA DBA ENDOSCOPY CENTER OF MURFREESBORO MEDICAL CLINIC,44C0001216,1013782499,MURFREESBORO,TN,37127,2024,0.000,,0.031,,0.000,,0.113,,95.62,,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
ROANOKE AMBULATORY SURGERY CENTER LLC,49C0001030,1013914985,ROANOKE,VA,24016,2024,0.000,,0.036,,0.000,,0.218,,,5,,5,,,,,,5,100.00,,,5,535,No Different Than the National Rate,2.1,1.4,3.1,,,,,,,5,26,No Different than expected,1,0.5,1.7,
BLOOMFIELD SURGI CENTER LLC DBA AMBULATORY CENTER OF EXCELLENCE IN SURGERY,31C0001195,1013921964,BLOOMFIELD,NJ,07003,2024,,5,,5,,5,0.039,,,5,,5,,,,,,5,,5,2.037,,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
SOUTH ALABAMA OUTPATIENT SERVICES,01C0001037,1013924133,ENTERPRISE,AL,36330,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,Number of Cases Too Small,,,,1,100.00,,0.000,,108,No Different Than the National Rate,2.6,1.7,4.3,,,,,,,5,,Number of Cases Too Small,,,,1
OWENSBORO AMBULATORY SURGICAL FACILITY LTD,18C0001006,1013973825,OWENSBORO,KY,42303,2024,0.000,,0.014,,0.014,,0.042,,87.25,,,5,1446,No Different Than the National Rate,9.6,7.3,12.8,,100.00,,0.037,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1,46,No Different than expected,1.1,0.6,2,
